date,competitor,metric,size_sqft,rack_rate_pw_gbp,offer_rate_pw_gbp,promo_text,source_url,notes
2026-08-20,Shurgard Basildon,unit,20,,8.31,20 sq ft £1 FIRST MONTH'S RENT £16,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,daily Actions sweep
2026-08-20,Make Space (Billericay),quote_after_test_form,10,17.98,12.98,50% off (£6.49/wk) for first 12 weeks,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?step=3,daily Actions sweep
2026-08-20,Make Space (Billericay),quote_after_test_form,16,21.98,13.98,50% off (£6.99/wk) for first 12 weeks,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?step=3,daily Actions sweep
2026-08-20,Make Space (Billericay),quote_after_test_form,25,35.98,28.98,50% off (£14.49/wk) for first 12 weeks,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?step=3,daily Actions sweep
2026-08-20,Make Space (Billericay),quote_after_test_form,35,40.98,28.98,50% off (£14.49/wk) for first 12 weeks,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?step=3,daily Actions sweep
2026-08-20,Make Space (Billericay),quote_after_test_form,50,49.98,34.98,50% off (£17.49/wk) for first 12 weeks,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?step=3,daily Actions sweep
2026-08-20,Make Space (Billericay),quote_after_test_form,75,67.98,67.98,50% off (£33.99/wk) for first 12 weeks,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?step=3,daily Actions sweep
2026-08-20,Make Space (Billericay),quote_after_test_form,100,84.98,84.98,50% off (£42.49/wk) for first 12 weeks,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?step=3,daily Actions sweep
2026-08-20,Make Space (Billericay),quote_after_test_form,125,106.98,101.98,50% off (£50.99/wk) for first 12 weeks,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?step=3,daily Actions sweep
2026-08-20,Make Space (Billericay),quote_after_test_form,150,104.98,104.98,50% off (£52.49/wk) for first 12 weeks,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?step=3,daily Actions sweep
2026-08-20,Make Space (Billericay),quote_after_test_form,175,126.98,126.98,50% off (£63.49/wk) for first 12 weeks,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?step=3,daily Actions sweep
2026-08-20,Make Space (Billericay),quote_after_test_form,200,150.98,143.98,50% off (£71.99/wk) for first 12 weeks,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?step=3,daily Actions sweep
2026-08-20,Make Space (Billericay),quote_after_test_form,250,165.98,148.98,50% off (£74.49/wk) for first 12 weeks,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?step=3,daily Actions sweep
2026-08-20,Safestore Basildon,manual_quote,10,10.99,7.99,£1 first month then £7.99/wk — 27% online discount,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote,25,30.99,22.49,£1 first month then £22.49/wk — 27% online discount,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote,35,41.99,30.49,£1 first month then £30.49/wk — 27% online discount,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote,50,43.99,39.99,50% off first 8 weeks: £20.00/wk then £39.99/wk — 9% online discount,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote,75,54.99,44.99,50% off first 8 weeks: £22.50/wk then £44.99/wk — 18% online discount,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote,100,77.99,56.99,£1 first month then £56.99/wk — 27% online discount,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote,125,94.99,85.99,50% off first 8 weeks: £43.00/wk then £85.99/wk — 9% online discount,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote,150,107.49,97.49,50% off first 8 weeks: £48.75/wk then £97.49/wk — 9% online discount,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote,175,112.49,101.99,50% off first 8 weeks: £51.00/wk then £101.99/wk — 9% online discount,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote,200,106.99,96.99,50% off first 8 weeks: £48.50/wk then £96.99/wk — 9% online discount,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote,250,160.49,145.49,50% off first 8 weeks: £72.75/wk then £145.49/wk — 9% online discount,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote_1yr,10,6.99,4.89,30% off first 52 weeks fixed 12 months,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 1yr, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote_1yr,25,19.49,13.64,30% off first 52 weeks fixed 12 months,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 1yr, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote_1yr,35,25.99,18.19,30% off first 52 weeks fixed 12 months,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 1yr, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote_1yr,50,32.99,23.09,30% off first 52 weeks fixed 12 months,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 1yr, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote_1yr,75,38.49,26.94,30% off first 52 weeks fixed 12 months,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 1yr, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote_1yr,100,48.49,33.94,30% off first 52 weeks fixed 12 months,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 1yr, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote_1yr,125,68.99,48.29,30% off first 52 weeks fixed 12 months,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 1yr, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20"
2026-08-20,Safestore Basildon,manual_quote_1yr,150,77.99,54.59,30% off first 52 weeks fixed 12 months,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 1yr, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20; reserve online free, confirmed by phone (can't book online at annual rate)"
2026-08-20,Safestore Basildon,manual_quote_1yr,175,84.49,76.04,10% off first 52 weeks fixed 12 months,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 1yr, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20; reserve online free, confirmed by phone (can't book online at annual rate)"
2026-08-20,Safestore Basildon,manual_quote_1yr,200,80.49,72.44,10% off first 52 weeks fixed 12 months,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 1yr, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20; reserve online free, confirmed by phone (can't book online at annual rate)"
2026-08-20,Safestore Basildon,manual_quote_1yr,250,120.49,108.44,10% off first 52 weeks fixed 12 months,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 1yr, inc VAT, excl StoreProtect/padlock, new customers) via Vikas 2026-08-20; reserve online free, confirmed by phone (can't book online at annual rate)"
